Execução,Distância Total,Melhor Caminho,Tempo de Execução,Algoritmo,Semente,Iterações,Temperatura,Resfriamento,Tentativas,População,Mutação
37,381.7000630519656,"[27 19  4 38 90 88 45 68 81 92 25 54  1 74 61 41 23 94 40 73 52 59 83 72
 42 70 30 96 17 60  6 12 66 75 37 46 93 84 69 33 44  7 98 21 43 11 99  8
 48  3 28 35 56 13 14 18 89 49  2 95 71 26 87 82 39 36 57 78 55 58 47 15
 65 64 34 32 97 22  9  5 77 62 16 20  0 10 50 86 85 91 63 51 31 67 79 76
 24 29 80 53]",20.29492139816284,Hill Climb,14,,,,,,
16,381.8125625344621,"[55 58 47 39 66  4 68 86  9 38 87 82 65 71 70 30 96 17 60  6 12 62 42 72
 83 73 95 76 79 31 51  2 29 52 80 53 33 44 59 40 24 49  3 89 18 28 35 97
 98 21 85 91 63 41 61 23 90 15 78 57 36 67 48 56 13  7 14 34  8 94 93 27
 45 88 10  0 20 16 77  5 50 26 64 81 19 99 11  1 74 43 22 32 69 84 46 75
 92 37 25 54]",20.633209466934204,Hill Climb,14,,,,,,
14,381.9621633541315,"[74  1 43 11 99 86  9 88 12 55 58 16 35 97 34 48  8 45 38 36 57 78 15 47
 39 82 87 66  4 68 69 41 61 23 54 19 81 90 65 64 79 76 83 73 40 24 95 71
 77  5  3 89 14 13 56 28 18 52 59 80 53 72 62 20  0 10 26 50 67 31 51 33
 44  7 85 91 63 21 94 27 93 84 98 32 22 49 29  6 60 17 96 30 70 42  2 46
 75 92 37 25]",21.81270456314087,Hill Climb,14,,,,,,
74,382.3260219292764,"[17 53 32 63 21 43  1 74 41 61 54 19  4 87 66 27 81 95 42 70 96 30 60  6
 71 62 12 55 20  0 94 84 23 99 68 45 86  9 49  3 34 48  8 69 11 98 97 35
 56 28 18 52 59 80 40 24  2 38 82 39 90 65 15 78 57 36 47 58 16 72 83 73
 29 89 22 85 91 44 33  7 13 14 51 31 67 10 26 64 75 92 37 25 46 93 88 50
  5 77 79 76]",22.5618314743042,Hill Climb,14,,,,,,
34,384.8012193981658,"[ 7 85 61 41 56 13 14 18 52 59 49  3 86  9 51 31 67 79 76 42 70 30 96 33
 44 91 63 98 21 43 74  1 11 69 99 68 45 20 55 12  6 60 17 53 80 83 23 54
 46 36 57 78 15 47 58 16 72 73 40 95 24  2 29 89 28 35 97 32 22 34 48  8
 88 50  5 71 62 77 90 39 82 87 66 94 84 25 37 92 75 27 64 26 10  0 65 38
  4 81 19 93]",21.17693901062012,Hill Climb,14,,,,,,
82,385.6963452680362,"[44  7 85 97 32 89 95 42 70 30 60  6 62 68 94 93 54 25 37 92 75 46 19 87
 82 66 27 81 31  2 29 40 73 72 83 53 80 76 79 71 77 20 16 58 55 12 96 17
 33 91 63 22  3 67  5 10  0 47 15 78 57 36 39 38  4 48 34  8 45 88 64 90
 65 26 50 28 18 14 13 56 35  9 86 49 52 59 24 51 84 23 61 41 11 99 69 98
 21 43  1 74]",20.226289749145508,Hill Climb,14,,,,,,
30,386.05640787896897,"[53 80 96 30 60  6 12 55 47 51  3 28 18 89 31 76 79 67 88 26 10 50  9 86
 98 43 74  1 69 68 45 90 64 62 42 72 83 73 24 49 56 33 44  7 35 97 21 41
 61 23 11 99 94 81 66 82 87 38  4 19 27 93 84 22 32 63 91 85 13 14 52 59
 40 95 71  5 77 20 16 58  0 48 34  8 65 15 78 57 36 39 75 92 37 25 46 54
  2 29 70 17]",15.865331172943115,Hill Climb,14,,,,,,
88,388.2957455184962,"[25 37 92 75 46 31 70 30 42 95 81 19 27  8 48 68 94 84 11 69 99 86  9 51
 80 53 72 83 59 52 35 97 85 91 63 49  2 73 40 24 29 18 28 89  3 34 22 32
 14 33 44  7 13 56  4 38 87 66 82 64 26 88 50  5 71 76 79 67 41 61 23 54
 93 90 65 47 15 78 57 36 39 10 77 62  6 60 17 96 12 55 58 16 20  0 45 98
 21 43  1 74]",17.815298318862915,Hill Climb,14,,,,,,
50,389.9623489538504,"[39 82 66 75 92 37 25 46 19 81 95 42 71  0 10 26 64 90 65 47 55 12 16 20
 58 15 78 87 38  4 27 93 23 21 85 91 63 98 69 84 94 68 45 31 76 79 88 50
  5 67  9 86 34 22 32 97 35 28 70 30 96 53 14 56 18 52 59 80 33 44  7 13
 89 49 29 24  2 51  8 48  3 83 72 73 40 57 36 54 61 41 74  1 43 11 99 77
 62  6 60 17]",23.649088382720947,Hill Climb,14,,,,,,
71,390.4382874903197,"[79 31 51  3 22 32 86 45 81 19 27 46 25 37 92 75 66 65 77 71  5 94 84 23
 54 93 90 64 26 50 88 11 43  1 74 61 41 99 24 72 83 52 89 21 98 69 34 48
  8 68  4 38 67 76 40 73 59 80 53 18 28 35 97 63 91 44 33  7 14 29 95  6
 62 16 58 55 12 60 17 96 30 70 42  2 49  9 87 82 39 36 57 78 15 47 20  0
 10 56 13 85]",21.948985815048218,Hill Climb,14,,,,,,
81,390.6950404502298,"[55 47 58 16 20 62 71 77  5 10  0 65 90 99 11 74 61 41 23 54 84 68 88 50
 26 64 82 87 38  4 75 92 37 25 46 91 44 33 14 18 89 52 73 40 24 29  2 51
 31 12  6 60 42 95  9 94 93 66 39 36 57 78 15 86 22 28 56 13 35 97 32 63
 98 34  3 49 70 30 96 17 72 83 48  8 69  1 43 21 85  7 53 80 59 76 79 67
 45 81 19 27]",23.115808248519897,Hill Climb,14,,,,,,
43,393.7378975165323,"[29  2 49 28 56 14 13 85 91 44 33  7 35 34 48  8 86  9 51 24 40 53 80 59
 52 18 89  3 68 45 31 76 94 46 25 27 93 19 81 67 79 12 55 58 16 20  0 10
 77  5 50 98 21 69 88 47 15 78  6 60 17 96 30 70 95 84 54 23 11 99  4 90
 64 65 57 36 39 82 38 73 83 72 42 71 62 26 87 66 75 92 37 63 22 32 97 43
  1 74 41 61]",16.730523824691772,Hill Climb,14,,,,,,
40,395.4623278732045,"[53 80 59 40 77 15 78 57 36 66 27 99  8 86 51 31 76 79 67 81 19 68  2 29
 49  3 34 22 85 91 63 69  4 38 87 65 47 58 16 20  0 10 26 21 43  1 74 61
 41 11 98 32 97 35 89 95 62 12 55 39 82 48 56 13  7 14 18 28  9 88 50  5
 71 42 72 83 73 24 45 94 84 23 54 25 37 92 75 46 93 90 64  6 60 17 96 30
 70 52 33 44]",18.17910861968994,Hill Climb,14,,,,,,
51,395.7373926135895,"[ 7 13 14 56 69 94 93 46 37 92 27  4 38 82 78 15 47 20  0 67 31 45 86  9
 51 49 29 80 53 17 96 30 70 42 72 83 73 55 58 16 95 24  2 76 79 57 36 39
 65 64 26 10  5 77 62 12 60  6 71 50 99 11 43  1 74 61 41 23 84  3 89 28
 18 52 59 40 68 81 19  8 48 34 22 32 98 21 63 91 97 35 88 90 87 66 75 25
 54 85 33 44]",20.969874382019043,Hill Climb,14,,,,,,
2,395.7486725895103,"[62 77 71 24 29  2 10  0 58 16 20 13  7 85 32 34 48  8 86  9 51 31 45 68
 38  4 81 27 19 87 82 78 15 12  6 55 47 64 26 79 40 73 80 53 18 14 56 35
 97 84 94 93 90 65 57 36 39 66 75 92 37 25 46 33 44 91 63 21 98 69 99 41
 61 54 23 11 22 89  3 88 50  5 67 76 95 72 83 59 52 28 74  1 43 49 42 70
 30 96 17 60]",18.73354935646057,Hill Climb,14,,,,,,
15,398.9336881003031,"[44 33 78 57 36 39 82 38 31  2 24 29 89 28 56 13  7 14 18 95 42 70 30 60
  6 62 79 51  9 69 99  8 34 48 86 58 16 20  0 10 67 45 54 23 61 41 22 32
 97 35 85 91 63 74  1 43 21 98 11 65 47 15 55 77  5 50 88 26 64 90 81 19
 66 87  4 52 59 80 53 17 96 72 83 73 40 68 94 46 25 37 92 75 27 93 84  3
 49 76 71 12]",25.33488178253174,Hill Climb,14,,,,,,
12,398.9404371109361,"[39 15 47 58 16 26  9 48 34  8 86 87 82 66 75 27 40 73 83 72 76 79 67 31
 51 89 18 28  3 64 90 38  4 19 81 22 32 97 35 56 24 29 52 59 80 53 77 20
  0 10 50 88 68 94 54 23 61 41 45 62  6 60 17 96 30 70 42 71  5 65 36 57
 78 55 12 95  2 49 99 69 63 85 91 44 33  7 13 14 46 25 92 37 93 84 11  1
 74 43 21 98]",20.553033351898197,Hill Climb,14,,,,,,
91,398.9859371456296,"[ 7 13 14 56 18 28 35 97 89 49  2 42 70 30 60  6 25 37 92 75  4 38 26 10
 50 67  8 48 34 85 91 63 43 74 61 41 23 84 94 68 45 52 59 80 53 33 44 54
 46 93 19 87 82 39 66 27  1 21 98 32 22  3  5 62 12 55 16 20  0 65 90 81
 11 69 99 86  9 51 31 17 96 72 83 73 40 95 71 77 58 47 15 78 57 36 64 88
 79 76 24 29]",23.16509485244751,Hill Climb,14,,,,,,
72,399.2152335066404,"[61 41 93  4 87 82 65 90 38 75 92 37 36 39 66 25 46 27 19 81 88 26 10 50
 67 33 44  7 13 14 18  2 95 71 16 58 20  0 79 76 42 70 30 96 17 72 83 24
 49 48  8 69 98 97 35 32 22 34  9 86 21 43 74  1 11 64 47 57 78 15 55 12
 60  6 62 77  5 68 99 23 54 84 94 45 31 51  3 89 52 59 80 53 73 40 29 28
 56 85 91 63]",23.94762921333313,Hill Climb,14,,,,,,
58,399.66264044522615,"[82 87 66 75 25 46 54 23 21 63 22 89 52 59 80  3 34 69 99 94 64 26 20  0
 10 32 35 56 13 14 28 18 53 17 96 42 71 77 95 40 73 72 83 27 93 84  8 48
 88 16 58 55 12 70 30 60  6 62 24 29  2 49 86  9 67 50  5 79 76 31 51 45
 68 81 19 37 92  4 38 39 36 57 78 15 47 65 90 11 98 97 33 44  7 85 91 41
 61 74  1 43]",19.723841905593872,Hill Climb,14,,,,,,
